,id,team_one,team_two,stage,winner,date
139,10348,New York Excelsior,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,4/12/2018
140,10349,Florida Mayhem,London Spitfire,Overwatch League - Stage 3,London Spitfire,4/13/2018
141,10350,Houston Outlaws,Philadelphia Fusion,Overwatch League - Stage 3,Philadelphia Fusion,4/13/2018
142,10351,Dallas Fuel,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,4/13/2018
143,10352,Shanghai Dragons,San Francisco Shock,Overwatch League - Stage 3,San Francisco Shock,4/14/2018
144,10353,Los Angeles Gladiators,Seoul Dynasty,Overwatch League - Stage 3,Los Angeles Gladiators,4/14/2018
145,10354,Philadelphia Fusion,London Spitfire,Overwatch League - Stage 3,Philadelphia Fusion,4/14/2018
146,10355,Houston Outlaws,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,4/14/2018
147,10356,Boston Uprising,Florida Mayhem,Overwatch League - Stage 3,Boston Uprising,4/15/2018
148,10357,Los Angeles Valiant,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Valiant,4/18/2018
149,10358,San Francisco Shock,Dallas Fuel,Overwatch League - Stage 3,San Francisco Shock,4/19/2018
150,10359,Seoul Dynasty,Shanghai Dragons,Overwatch League - Stage 3,Seoul Dynasty,4/19/2018
151,10360,Florida Mayhem,Houston Outlaws,Overwatch League - Stage 3,Houston Outlaws,4/19/2018
152,10361,London Spitfire,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,4/20/2018
153,10362,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 3,New York Excelsior,4/20/2018
154,10363,San Francisco Shock,Philadelphia Fusion,Overwatch League - Stage 3,San Francisco Shock,4/20/2018
155,10364,Shanghai Dragons,Florida Mayhem,Overwatch League - Stage 3,Florida Mayhem,4/21/2018
156,10365,Seoul Dynasty,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,4/21/2018
157,10366,Los Angeles Valiant,London Spitfire,Overwatch League - Stage 3,London Spitfire,4/21/2018
158,10367,Los Angeles Gladiators,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,4/21/2018
159,10368,Dallas Fuel,Houston Outlaws,Overwatch League - Stage 3,Houston Outlaws,4/22/2018
160,10369,Boston Uprising,Shanghai Dragons,Overwatch League - Stage 3,Boston Uprising,4/25/2018
161,10370,Houston Outlaws,Los Angeles Valiant,Overwatch League - Stage 3,Houston Outlaws,4/26/2018
162,10371,Florida Mayhem,Dallas Fuel,Overwatch League - Stage 3,Florida Mayhem,4/26/2018
163,10372,London Spitfire,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Gladiators,4/26/2018
164,10373,New York Excelsior,San Francisco Shock,Overwatch League - Stage 3,New York Excelsior,4/27/2018
165,10374,Philadelphia Fusion,Seoul Dynasty,Overwatch League - Stage 3,Seoul Dynasty,4/27/2018
166,10375,Boston Uprising,Dallas Fuel,Overwatch League - Stage 3,Boston Uprising,4/27/2018
167,10376,Houston Outlaws,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Gladiators,4/28/2018
168,10377,Florida Mayhem,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,4/28/2018
169,10378,London Spitfire,San Francisco Shock,Overwatch League - Stage 3,London Spitfire,4/28/2018
170,10379,New York Excelsior,Seoul Dynasty,Overwatch League - Stage 3,New York Excelsior,4/28/2018
171,10380,Philadelphia Fusion,Shanghai Dragons,Overwatch League - Stage 3,Philadelphia Fusion,4/28/2018
172,10588,Dallas Fuel,Philadelphia Fusion,Overwatch League - Stage 3,Philadelphia Fusion,5/2/2018
173,10589,Los Angeles Gladiators,Florida Mayhem,Overwatch League - Stage 3,Los Angeles Gladiators,5/3/2018
174,10590,San Francisco Shock,Houston Outlaws,Overwatch League - Stage 3,San Francisco Shock,5/3/2018
175,10591,Florida Mayhem,San Francisco Shock,Overwatch League - Stage 3,San Francisco Shock,5/3/2018
176,10592,Los Angeles Valiant,Boston Uprising,Overwatch League - Stage 3,Boston Uprising,5/4/2018
177,10593,New York Excelsior,Dallas Fuel,Overwatch League - Stage 3,New York Excelsior,5/4/2018
178,10594,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 3,Boston Uprising,5/4/2018
179,10595,Shanghai Dragons,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,5/5/2018
180,10596,Seoul Dynasty,London Spitfire,Overwatch League - Stage 3,London Spitfire,5/5/2018
181,10597,London Spitfire,Shanghai Dragons,Overwatch League - Stage 3,London Spitfire,5/5/2018
182,10598,Houston Outlaws,Seoul Dynasty,Overwatch League - Stage 3,Seoul Dynasty,5/5/2018
183,10599,Philadelphia Fusion,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,5/6/2018
184,10543,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 3 Title Matches,Boston Uprising,5/6/2018
185,10544,New York Excelsior,Los Angeles Valiant,Overwatch League - Stage 3 Title Matches,New York Excelsior,5/6/2018
186,10545,Boston Uprising,New York Excelsior,Overwatch League - Stage 3 Title Matches,New York Excelsior,5/6/2018
187,10443,San Francisco Shock,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,5/16/2018
188,10444,Los Angeles Valiant,Seoul Dynasty,Overwatch League - Stage 4,Los Angeles Valiant,5/17/2018
189,10445,Shanghai Dragons,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,5/17/2018
190,10446,Philadelphia Fusion,Boston Uprising,Overwatch League - Stage 4,Philadelphia Fusion,5/17/2018
191,10447,Florida Mayhem,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,5/18/2018
192,10448,London Spitfire,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,5/18/2018
193,10449,Los Angeles Gladiators,Dallas Fuel,Overwatch League - Stage 4,Los Angeles Gladiators,5/18/2018
194,10450,Houston Outlaws,Boston Uprising,Overwatch League - Stage 4,Houston Outlaws,5/19/2018
195,10451,Seoul Dynasty,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,5/19/2018
196,10452,Florida Mayhem,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,5/19/2018
197,10453,Los Angeles Valiant,Shanghai Dragons,Overwatch League - Stage 4,Los Angeles Valiant,5/19/2018
198,10454,New York Excelsior,London Spitfire,Overwatch League - Stage 4,New York Excelsior,5/20/2018
199,10455,Dallas Fuel,Boston Uprising,Overwatch League - Stage 4,Dallas Fuel,5/23/2018
200,10456,Los Angeles Valiant,Florida Mayhem,Overwatch League - Stage 4,Los Angeles Valiant,5/24/2018
201,10457,Los Angeles Gladiators,Houston Outlaws,Overwatch League - Stage 4,Los Angeles Gladiators,5/24/2018
202,10458,San Francisco Shock,London Spitfire,Overwatch League - Stage 4,London Spitfire,5/24/2018
203,10459,Florida Mayhem,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,5/25/2018
204,10460,Shanghai Dragons,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,5/25/2018
205,10461,Boston Uprising,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,5/25/2018
206,10462,Seoul Dynasty,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,5/26/2018
207,10463,Houston Outlaws,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,5/26/2018
208,10464,London Spitfire,Seoul Dynasty,Overwatch League - Stage 4,London Spitfire,5/26/2018
209,10465,New York Excelsior,Shanghai Dragons,Overwatch League - Stage 4,New York Excelsior,5/26/2018
210,10466,Philadelphia Fusion,Dallas Fuel,Overwatch League - Stage 4,Dallas Fuel,5/27/2018
211,10467,Philadelphia Fusion,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,5/30/2018
212,10468,Shanghai Dragons,Seoul Dynasty,Overwatch League - Stage 4,Seoul Dynasty,5/31/2018
213,10469,Los Angeles Gladiators,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,5/31/2018
214,10470,Boston Uprising,London Spitfire,Overwatch League - Stage 4,London Spitfire,5/31/2018
215,10471,Dallas Fuel,San Francisco Shock,Overwatch League - Stage 4,San Francisco Shock,6/1/2018
216,10472,Los Angeles Gladiators,Philadelphia Fusion,Overwatch League - Stage 4,Los Angeles Gladiators,6/1/2018
217,10473,Shanghai Dragons,Houston Outlaws,Overwatch League - Stage 4,Houston Outlaws,6/1/2018
218,10474,Seoul Dynasty,Florida Mayhem,Overwatch League - Stage 4,Seoul Dynasty,6/2/2018
219,10475,San Francisco Shock,Boston Uprising,Overwatch League - Stage 4,San Francisco Shock,6/2/2018
220,10476,Dallas Fuel,London Spitfire,Overwatch League - Stage 4,Dallas Fuel,6/2/2018
221,10477,Los Angeles Valiant,New York Excelsior,Overwatch League - Stage 4,Los Angeles Valiant,6/2/2018
222,10478,Houston Outlaws,Florida Mayhem,Overwatch League - Stage 4,Houston Outlaws,6/3/2018
223,10479,Boston Uprising,Seoul Dynasty,Overwatch League - Stage 4,Boston Uprising,6/6/2018
224,10480,Florida Mayhem,Shanghai Dragons,Overwatch League - Stage 4,Florida Mayhem,6/7/2018
225,10481,Houston Outlaws,Dallas Fuel,Overwatch League - Stage 4,Houston Outlaws,6/7/2018
226,10482,London Spitfire,Los Angeles Valiant,Overwatch League - Stage 4,Los Angeles Valiant,6/7/2018
227,10483,New York Excelsior,Los Angeles Gladiators,Overwatch League - Stage 4,Los Angeles Gladiators,6/8/2018
228,10484,Philadelphia Fusion,San Francisco Shock,Overwatch League - Stage 4,Philadelphia Fusion,6/8/2018
229,10485,Shanghai Dragons,Boston Uprising,Overwatch League - Stage 4,Boston Uprising,6/8/2018
230,10486,Dallas Fuel,Florida Mayhem,Overwatch League - Stage 4,Dallas Fuel,6/9/2018
231,10487,Seoul Dynasty,Philadelphia Fusion,Overwatch League - Stage 4,Philadelphia Fusion,6/9/2018
232,10488,Los Angeles Gladiators,London Spitfire,Overwatch League - Stage 4,Los Angeles Gladiators,6/9/2018
233,10489,San Francisco Shock,New York Excelsior,Overwatch League - Stage 4,New York Excelsior,6/9/2018
