,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
46,46,10269,New York Excelsior,Dallas Fuel,Overwatch League - Stage 1,New York Excelsior,2018-02-03,False,6.0,1.0,1.0,6.0,7.0,7.0,0.8571428571428571,0.14285714285714285,6.0,1.0,1.0,6.0,7.0,7.0,0.8571428571428571,0.14285714285714285,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,4.0,1.0,1.0,4.0,0.8,0.2,,,,,,,,,,,,,,,0,0,0,,0,-1429,653
47,47,10270,Los Angeles Valiant,Boston Uprising,Overwatch League - Stage 1,Boston Uprising,2018-02-03,False,5.0,2.0,3.0,3.0,7.0,6.0,0.7142857142857143,0.5,5.0,2.0,3.0,3.0,7.0,6.0,0.7142857142857143,0.5,3.0,0.0,2.0,1.0,1.0,0.6666666666666666,3.0,2.0,3.0,2.0,0.6,0.6,,,,,,,,,,,,,,,0,0,0,,1,-175,135
48,48,10564,Dallas Fuel,Shanghai Dragons,Overwatch League - Stage 1,Dallas Fuel,2018-02-08,False,1.0,7.0,0.0,8.0,8.0,8.0,0.125,0.0,1.0,7.0,0.0,8.0,8.0,8.0,0.125,0.0,1.0,2.0,0.0,3.0,0.3333333333333333,0.0,1.0,4.0,0.0,5.0,0.2,0.0,,,,,,,,,,,,,,,0,0,0,,0,,
49,49,10565,Los Angeles Gladiators,San Francisco Shock,Overwatch League - Stage 1,Los Angeles Gladiators,2018-02-08,False,3.0,5.0,3.0,5.0,8.0,8.0,0.375,0.375,3.0,5.0,3.0,5.0,8.0,8.0,0.375,0.375,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,4.0,2.0,3.0,0.2,0.4,,,,,,,,,,,,,,,0,0,0,,0,-112,-102
50,50,10566,Seoul Dynasty,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-08,False,6.0,2.0,5.0,3.0,8.0,8.0,0.75,0.625,6.0,2.0,5.0,3.0,8.0,8.0,0.75,0.625,1.0,2.0,2.0,1.0,0.3333333333333333,0.6666666666666666,3.0,2.0,3.0,2.0,0.6,0.6,,,,,,,,,,,,,,,0,0,0,,1,-385,254
51,51,10567,Boston Uprising,Philadelphia Fusion,Overwatch League - Stage 1,Boston Uprising,2018-02-08,False,5.0,3.0,5.0,3.0,8.0,8.0,0.625,0.625,5.0,3.0,5.0,3.0,8.0,8.0,0.625,0.625,3.0,0.0,2.0,1.0,1.0,0.6666666666666666,4.0,1.0,3.0,2.0,0.8,0.6,,,,,,,,,,,,,,,0,0,0,,0,-286,240
52,52,10568,New York Excelsior,Florida Mayhem,Overwatch League - Stage 1,New York Excelsior,2018-02-09,False,7.0,1.0,1.0,7.0,8.0,8.0,0.875,0.125,7.0,1.0,1.0,7.0,8.0,8.0,0.875,0.125,3.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,0.8,0.2,,,,,,,,,,,,,,,0,0,0,,0,,
53,53,10569,Houston Outlaws,London Spitfire,Overwatch League - Stage 1,Houston Outlaws,2018-02-09,False,5.0,3.0,7.0,1.0,8.0,8.0,0.625,0.875,5.0,3.0,7.0,1.0,8.0,8.0,0.625,0.875,2.0,1.0,3.0,0.0,0.6666666666666666,1.0,4.0,1.0,4.0,1.0,0.8,0.8,,,,,,,,,,,,,,,0,0,0,,0,148,112
54,54,10570,Dallas Fuel,Los Angeles Gladiators,Overwatch League - Stage 1,Dallas Fuel,2018-02-10,False,2.0,7.0,4.0,5.0,9.0,9.0,0.2222222222222222,0.4444444444444444,2.0,7.0,4.0,5.0,9.0,9.0,0.2222222222222222,0.4444444444444444,1.0,2.0,2.0,1.0,0.3333333333333333,0.6666666666666666,2.0,3.0,2.0,3.0,0.4,0.4,,,,,,,,,,,,,,,0,0,0,,0,,
55,55,10571,San Francisco Shock,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-02-10,False,3.0,6.0,6.0,3.0,9.0,9.0,0.3333333333333333,0.6666666666666666,3.0,6.0,6.0,3.0,9.0,9.0,0.3333333333333333,0.6666666666666666,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,4.0,2.0,3.0,0.2,0.4,,,,,,,,,,,,,,,0,0,0,,1,807,-2000
